,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
62,2017-00004351,,,,,,Theft,CBE
63,2017-00004447,,,,,,Injured/Sick Person,CBE
64,2017-00004457,,,,,,Disorderly Conduct,Active/Pending
65,2017-00004485,,,,,,DWI/DUI,Arrest
66,2017-00004488,,,,,,Suspicious Activity,CBE
67,2017-00004544,,,,,,Traffic Offense,CBE
68,2017-00004618,,,,,,Assault,Arrest
69,2017-00004622,,,,,,CDS Violation,CBE
70,2017-00004661,,,,,,Assist Other Agency,CBE
71,2017-00004737,,,,,,CDS Violation,CBE
72,2017-00004776,,,,,,Injured/Sick Person,CBE
73,2017-00004817,,,,,,Injured/Sick Person,CBE
74,2017-00004862,,,,,,Injured/Sick Person,CBE
75,2017-00004868,,,,,,Injured/Sick Person,CBE
76,2017-00004951,,,,,,Assist Other Agency,CBE
77,2017-00004963,,,,,,Burglary,Unfounded
78,2017-00004989,,,,,,Theft,Suspended
79,2017-00005131,,,,,,Disorderly Conduct,CBE
80,2017-00005139,,,,,,DWI/DUI,Arrest
81,2017-00005192,,,,,,Injured/Sick Person,CBE
82,2017-00005200,,,,,,Injured/Sick Person,CBE
83,2017-00005241,,,,,,Recovered Stolen Property,Arrest
84,2017-00005331,,,,,,Assault,CBE
85,2017-00005341,,,,,,CDS Violation,CBE
86,2017-00005397,,,,,,Injured/Sick Person,CBE
87,2017-00005398,,,,,,Injured/Sick Person,CBE
88,2017-00005420,,,,,,Theft,Suspended
89,2017-00005427,,,,,,Injured/Sick Person,CBE
90,2017-00005462,,,,,,Vandalism,Suspended
91,2017-00005493,,,,,,Assist Other Agency,CBE
92,2017-00005652,,,,,,Assist Other Agency (Title IX Related),CBE
93,2017-00005663,,,,,,Injured/Sick Person,CBE
94,2017-00005673,,,,,,Assist Other Agency,CBE
95,2017-00005698,,,,,,Injured/Sick Person,CBE
96,2017-00005706,,,,,,Suspicious Activity,CBE
97,2017-00005748,,,,,,Suspicious Person/Auto (Title IX Related),Active/Pending
98,2017-00005756,,,,,,Suspicious Person/Auto,Active/Pending
99,2017-00005771,,,,,,Theft,Arrest
100,2017-00005773,,,,,,Theft,Suspended
101,2017-00005774,,,,,,Assault,Suspended
102,2017-00005807,,,,,,Other Incident,CBE
103,2017-00005878,,,,,,CDS Violation,CBE
104,2017-00005886,,,,,,CDS Violation,Arrest
105,2017-00005929,,,,,,Injured/Sick Person,CBE
106,2017-00005936,,,,,,Injured/Sick Person,CBE
107,2017-00005947,,,,,,DWI/DUI,Arrest
108,2017-00005950,,,,,,Burglary,CBE
109,2017-00005953,,,,,,Vandalism,Arrest
110,2017-00005956,,,,,,Vandalism,Active/Pending
111,2017-00006129,,,,,,Injured/Sick Person,CBE
112,2017-00006131,,,,,,Injured/Sick Person,CBE
113,2017-00006156,,,,,,Injured/Sick Person,CBE
114,2017-00006262,,,,,,Assault,Suspended
115,2017-00006276,,,,,,Harassment/Stalking (Title IX Related),Active/Pending
116,2017-00006293,,,,,,Injured/Sick Person,CBE
117,2017-00006298,,,,,,Fire,CBE
118,2017-00006347,,,,,,Injured/Sick Person,CBE
119,2017-00006349,,,,,,Emergency Petition,CBE
120,2017-00006481,,,,,,Theft from Auto,Suspended
121,2017-00006493,,,,,,Injured/Sick Person,CBE
122,2017-00006543,,,,,,Accident,CBE
123,2017-00006593,,,,,,Suspicious Activity,CBE
124,2017-00006714,,,,,,Other Incident,CBE
125,2017-00006726,,,,,,Theft,Suspended
126,2017-00006766,,,,,,Dept Property Damage/Loss,CBE
127,2017-00006803,,,,,,CDS Violation,Arrest
128,2017-00006848,,,,,,Vandalism,Active/Pending
129,2017-00006900,,,,,,Injured/Sick Person,CBE
130,2017-00006907,,,,,,Dept Property Damage/Loss,CBE
131,2017-00006947,,,,,,Injured/Sick Person,CBE
132,2017-00006994,,,,,,Recovered Stolen Motor Vehicle,Arrest
133,2017-00006999,,,,,,Fraud,Arrest
134,2017-00007023,,,,,,Emergency Petition,CBE
135,2017-00007030,,,,,,Theft,Arrest
136,2017-00007040,,,,,,Warrant/Summons Service,Arrest
137,2017-00007203,,,,,,Assist Other Agency,CBE
138,2017-00007311,,,,,,Warrant/Summons Service,Arrest
139,2017-00007312,,,,,,Other Incident,Suspended
140,2017-00007336,,,,,,DWI/DUI,Arrest
141,2017-00007343,,,,,,DWI/DUI,Arrest
142,2017-00007403,,,,,,Other Incident,CBE
143,2017-00007435,,,,,,Harassment/Stalking,CBE
144,2017-00007439,,,,,,Theft,Unfounded
145,2017-00007480,,,,,,Injured Officer,CBE
146,2017-00007518,,,,,,Damage to State Property,CBE
147,2017-00007549,,,,,,Injured/Sick Person,CBE
148,2017-00007603,,,,,,Injured/Sick Person,CBE
149,2017-00007628,,,,,,DWI/DUI,Arrest
150,2017-00007720,,,,,,Other Incident,CBE
151,2017-00007741,,,,,,CDS Violation,CBE
152,2017-00007744,,,,,,Vandalism,Active/Pending
153,2017-00007765,,,,,,CDS Violation,CBE
154,2017-00007792,,,,,,CDS Violation,CBE
155,2017-00007808,,,,,,Fire,CBE
156,2017-00007819,,,,,,Assist Other Agency,CBE
157,2017-00007839,,,,,,Injured/Sick Person,CBE
158,2017-00007841,,,,,,DWI/DUI,Arrest
159,2017-00007850,,,,,,Injured/Sick Person,CBE
160,2017-00007920,,,,,,Vandalism,Suspended
161,2017-00007923,,,,,,Injured/Sick Person,CBE
162,2017-00007956,,,,,,Other Incident,CBE
163,2017-00008001,,,,,,Theft,Suspended
164,2017-00008125,,,,,,Fraud,CBE
165,2017-00008140,,,,,,Theft,Suspended
166,2017-00008151,,,,,,Theft,Suspended
167,2017-00008169,,,,,,Theft,Suspended
168,2017-00008185,,,,,,Injured/Sick Person,CBE
169,2017-00008197,,,,,,Theft,Suspended
170,2017-00008199,,,,,,Theft,Suspended
171,2017-00008214,,,,,,CDS Violation,Arrest
172,2017-00008323,,,,,,Dept Property Damage/Loss,CBE
173,2017-00008338,,,,,,Damage to State Property,CBE
174,2017-00008358,,,,,,Injured/Sick Person,CBE
175,2017-00008360,,,,,,Title IX Incident Non Criminal,CBE
176,2017-00008386,,,,,,Theft,Suspended
177,2017-00008388,,,,,,Accident - Departmental,CBE
178,2017-00008489,,,,,,Injured/Sick Person,CBE
179,2017-00008496,,,,,,Fraud,Arrest
180,2017-00008502,,,,,,Injured/Sick Person,CBE
181,2017-00008627,,,,,,Theft,Suspended
182,2017-00008709,,,,,,Damage to State Property,CBE
183,2017-00008773,,,,,,Damage to State Property,CBE
184,2017-00008794,,,,,,Assist Other Agency,CBE
185,2017-00008801,,,,,,Suspicious Activity,CBE
186,2017-00008815,,,,,,Theft,Active/Pending
187,2017-00008889,,,,,,Theft,Active/Pending
188,2017-00008892,,,,,,Injured/Sick Person,CBE
189,2017-00008939,,,,,,DWI/DUI,Arrest
190,2017-00008943,,,,,,Suspicious Person/Auto,CBE
191,2017-00008954,,,,,,Fraud (Title IX Related),CBE
192,2017-00008966,,,,,,Injured/Sick Person,CBE
193,2017-00008985,,,,,,Injured/Sick Person,CBE
194,2017-00009004,,,,,,Injured/Sick Person,CBE
195,2017-00009045,,,,,,Vandalism,Suspended
196,2017-00009186,,,,,,Warrant/Summons Service,Arrest
197,2017-00009255,,,,,,Other Incident,Active/Pending
198,2017-00009279,,,,,,Injured/Sick Person,CBE
199,2017-00009295,,,,,,DWI/DUI,Arrest
200,2017-00009296,,,,,,Disorderly Conduct,Arrest
201,2017-00009297,,,,,,Injured/Sick Person,CBE
202,2017-00009403,,,,,,Injured/Sick Person,CBE
203,2017-00009432,,,,,,Other Incident (Title IX Related),CBE
204,2017-00009463,,,,,,CDS Violation,CBE
205,2017-00009491,,,,,,Injured/Sick Person,CBE
206,2017-00009514,,,,,,Trespassing,CBE
207,2017-00009528,,,,,,Injured/Sick Person,CBE
208,2017-00009540,,,,,,CDS Violation,CBE
209,2017-00009545,,,,,,CDS Violation,Arrest
210,2017-00009650,,,,,,Dept Property Damage/Loss,CBE
211,2017-00009704,,,,,,Injured/Sick Person,CBE
212,2017-00009721,,,,,,CDS Violation,CBE
213,2017-00009722,,,,,,CDS Violation,CBE
214,2017-00009731,,,,,,CDS Violation,CBE
215,2017-00009848,,,,,,Emergency Petition,CBE
216,2017-00009850,,,,,,Other Incident,CBE
217,2017-00009851,,,,,,Injured/Sick Person,CBE
218,2017-00009899,,,,,,Injured/Sick Person,CBE
219,2017-00009904,,,,,,Theft,Suspended
220,2017-00009907,,,,,,Injured/Sick Person,CBE
221,2017-00009932,,,,,,Injured/Sick Person,CBE
222,2017-00009959,,,,,,Theft,Suspended
223,2017-00009970,,,,,,Assist Other Agency,CBE
224,2017-00010062,,,,,,Lost Property,CBE
225,2017-00010063,,,,,,Injured/Sick Person,CBE
226,2017-00010100,,,,,,Other Incident,Active/Pending
227,2017-00010102,,,,,,Fraud,Suspended
228,2017-00010115,,,,,,Theft,Suspended
229,2017-00010121,,,,,,Injured/Sick Person,CBE
230,2017-00010179,,,,,,Recovered Stolen Motor Vehicle,Arrest
231,2017-00010207,,,,,,Found/Recovered Property,CBE
232,2017-00010246,,,,,,DWI/DUI,Arrest
233,2017-00010260,,,,,,Injured/Sick Person,CBE
234,2017-00010296,,,,,,Recovered Stolen Property,Arrest
235,2017-00010537,,,,,,Title IX Incident Non Criminal,Suspended
236,2017-00010567,,,,,,Suspicious Activity,CBE
237,2017-00010568,,,,,,Injured/Sick Person,CBE
238,2017-00010576,,,,,,Theft,Suspended
239,2017-00010580,,,,,,Harassment/Stalking (Title IX Related),Active/Pending
240,2017-00010695,,,,,,Injured/Sick Person,CBE
241,2017-00010697,,,,,,CDS Violation,CBE
242,2017-00010703,,,,,,Injured/Sick Person,CBE
243,2017-00010845,,,,,,CDS Violation,Arrest
244,2017-00010931,,,,,,Assist Other Agency,CBE
245,2017-00010988,,,,,,Injured/Sick Person,CBE
246,2017-00011004,,,,,,Injured/Sick Person,CBE
247,2017-00011032,,,,,,Disorderly Conduct,Arrest
248,2017-00011070,,,,,,Lost Property,CBE
249,2017-00011118,,,,,,Theft,Suspended
250,2017-00011127,,,,,,Assist Other Agency,CBE
251,2017-00011131,,,,,,Injured/Sick Person,CBE
252,2017-00011175,,,,,,Injured/Sick Person,CBE
253,2017-00011214,,,,,,CDS Violation,CBE
254,2017-00011236,,,,,,Injured/Sick Person,CBE
255,2017-00011239,,,,,,Assist Other Agency,CBE
256,2017-00011241,,,,,,Injured/Sick Person,CBE
257,2017-00011246,,,,,,DWI/DUI,Arrest
258,2017-00011247,,,,,,Injured/Sick Person,CBE
259,2017-00011258,,,,,,Assist Other Agency,CBE
260,2017-00011349,,,,,,Injured/Sick Person,CBE
261,2017-00011411,,,,,,DWI/DUI,Arrest
262,2017-00011460,,,,,,Domestic (Title IX Related),CBE
263,2017-00011465,,,,,,Injured/Sick Person,CBE
264,2017-00011529,,,,,,Rape (Title IX Related),CBE
265,2017-00011539,,,,,,Accident,Active/Pending
266,2017-00011548,,,,,,Theft,Suspended
267,2017-00011661,,,,,,Injured/Sick Person,CBE
268,2017-00011710,,,,,,Accident,Suspended
269,2017-00011712,,,,,,Injured/Sick Person,CBE
270,2017-00011716,,,,,,Assist Other Agency,CBE
271,2017-00011730,,,,,,CDS Violation,CBE
272,2017-00011803,,,,,,Injured/Sick Person,CBE
273,2017-00011809,,,,,,CDS Violation,CBE
274,2017-00011838,,,,,,Weapon Violation,Arrest
275,2017-00011922,,,,,,Theft,Arrest
276,2017-00011987,,,,,,Emergency Petition,CBE
277,2017-00012000,,,,,,Accident - Departmental,CBE
278,2017-00012001,,,,,,Theft,Arrest
279,2017-00012026,,,,,,Emergency Petition,CBE
280,2017-00012041,,,,,,Check on the Welfare,CBE
281,2017-00012063,,,,,,Theft,Arrest
282,2017-00012081,,,,,,Recovered Stolen Property,Arrest
283,2017-00012091,,,,,,Other Incident,Suspended
284,2017-00012115,,,,,,Injured/Sick Person,CBE
285,2017-00012147,,,,,,Damage to State Property,CBE
286,2017-00012170,,,,,,Injured/Sick Person,CBE
287,2017-00012243,,,,,,CDS Violation,CBE
288,2017-00012254,,,,,,Injured/Sick Person,CBE
289,2017-00012268,,,,,,Emergency Petition,CBE
290,2017-00012283,,,,,,Assist Other Agency,CBE
291,2017-00012292,,,,,,Emergency Petition,CBE
292,2017-00012314,,,,,,Assist Other Agency,CBE
293,2017-00012338,,,,,,Vandalism,Suspended
294,2017-00012350,,,,,,Theft,Suspended
295,2017-00012360,,,,,,Assist Other Agency,CBE
296,2017-00012365,,,,,,Other Incident,CBE
297,2017-00012371,,,,,,Injured/Sick Person,CBE
298,2017-00012393,,,,,,Injured/Sick Person,CBE
299,2017-00012395,,,,,,Injured Officer,CBE
300,2017-00012429,,,,,,Other Incident,CBE
301,2017-00012436,,,,,,DWI/DUI,Arrest
302,2017-00012537,,,,,,Injured/Sick Person,CBE
303,2017-00012538,,,,,,Injured/Sick Person,CBE
304,2017-00012539,,,,,,Burglary,Suspended
305,2017-00012545,,,,,,Accident,Active/Pending
306,2017-00012600,,,,,,Assist Other Agency,CBE
307,2017-00012620,,,,,,Injured/Sick Person,CBE
308,2017-00012621,,,,,,Assist Other Agency,CBE
309,2017-00012628,,,,,,Assist Other Agency,CBE
310,2017-00012658,,,,,,Assist Other Agency,CBE
311,2017-00012684,,,,,,Injured/Sick Person,CBE
312,2017-00012691,,,,,,Injured/Sick Person,CBE
313,2017-00012692,,,,,,CDS Violation,CBE
314,2017-00012745,,,,,,Suspicious Person/Auto,CBE
315,2017-00012753,,,,,,Title IX Incident Non Criminal,Active/Pending
316,2017-00012754,,,,,,CDS Violation,CBE
317,2017-00012775,,,,,,DWI/DUI,Arrest
318,2017-00012831,,,,,,Vandalism,CBE
319,2017-00012914,,,,,,Suspicious Activity,Active/Pending
320,2017-00013049,,,,,,Theft,CBE
321,2017-00013063,,,,,,Damage to State Property,CBE
322,2017-00013092,,,,,,Theft,Arrest
323,2017-00013095,,,,,,Injured/Sick Person,CBE
324,2017-00013121,,,,,,Disorderly Conduct,CBE
325,2017-00013124,,,,,,Injured/Sick Person,CBE
326,2017-00013186,,,,,,Injured/Sick Person,CBE
327,2017-00013198,,,,,,Theft,Arrest
328,2017-00013210,,,,,,CDS Violation,Arrest
329,2017-00013217,,,,,,Trespassing,CBE
330,2017-00013252,,,,,,CDS Violation,Arrest
331,2017-00013255,,,,,,Theft,Arrest
332,2017-00013264,,,,,,Theft,Arrest
333,2017-00013270,,,,,,Theft from Auto,Suspended
334,2017-00013272,,,,,,Emergency Petition,CBE
335,2017-00013273,,,,,,Injured/Sick Person,CBE
336,2017-00013280,,,,,,Accident - Departmental,CBE
337,2017-00013355,,,,,,CDS Violation,CBE
338,2017-00013489,,,,,,Other Incident,CBE
339,2017-00013509,,,,,,Theft,Suspended
340,2017-00013641,,,,,,CDS Violation,CBE
341,2017-00013650,,,,,,Assault,Arrest
342,2017-00013662,,,,,,Emergency Petition,CBE
343,2017-00013716,,,,,,Theft,Suspended
344,2017-00013734,,,,,,Injured/Sick Person,CBE
345,2017-00013736,,,,,,Lost Property,CBE
346,2017-00013824,,,,,,CDS Violation,CBE
347,2017-00013850,,,,,,Burglary,Arrest
348,2017-00013889,,,,,,Injured/Sick Person,CBE
349,2017-00013962,,,,,,Theft,CBE
350,2017-00013973,,,,,,Suspicious Activity (Title IX Related),Active/Pending
351,2017-00014016,,,,,,Theft,Arrest
352,2017-00014055,,,,,,Theft,Active/Pending
353,2017-00014059,,,,,,Injured/Sick Person,CBE
354,2017-00014096,,,,,,CDS Violation,Arrest
355,2017-00014110,,,,,,Injured/Sick Person,CBE
356,2017-00014117,,,,,,Injured/Sick Person,CBE
357,2017-00014121,,,,,,Warrant/Summons Service,Arrest
358,2017-00014124,,,,,,Assist Other Agency,CBE
359,2017-00014129,,,,,,Injured/Sick Person,CBE
360,2017-00014138,,,,,,Vandalism,CBE
361,2017-00014147,,,,,,Damage to State Property,CBE
362,2017-00014152,,,,,,Vandalism,Suspended
363,2017-00014191,,,,,,Vandalism,Suspended
364,2017-00014337,,,,,,Injured/Sick Person,CBE
365,2017-00014547,,,,,,Assist Other Agency,Active/Pending
366,2017-00014559,,,,,,CDS Violation,Arrest
367,2017-00014561,,,,,,CDS Violation,Arrest
368,2017-00014563,,,,,,CDS Violation,CBE
369,2017-00014573,,,,,,CDS Violation,Arrest
370,2017-00014586,,,,,,Recovered Stolen Property,CBE
371,2017-00014674,,,,,,Theft,Arrest
372,2017-00014682,,,,,,Injured/Sick Person,CBE
373,2017-00014705,,,,,,Suspicious Activity,CBE
374,2017-00014775,,,,,,Suspicious Person/Auto,CBE
375,2017-00014822,,,,,,Emergency Petition,CBE
376,2017-00014842,,,,,,Dept Property Damage/Loss,CBE
377,2017-00014849,,,,,,Suspicious Person/Auto,Active/Pending
378,2017-00014860,,,,,,Hate Bias Incident,Active/Pending
379,2017-00015095,,,,,,Lost Property,CBE
380,2017-00015097,,,,,,Trespassing,Suspended
381,2017-00015150,,,,,,Threat Assessment,Active/Pending
382,2017-00015182,,,,,,Injured/Sick Person,CBE
383,2017-00015235,,,,,,Suspicious Activity,CBE
384,2017-00015293,,,,,,Traffic Offense,CBE
385,2017-00015371,,,,,,Theft,CBE
386,2017-00015374,,,,,,Theft,Unfounded
387,2017-00015414,,,,,,Assault,Arrest
388,2017-00015418,,,,,,Fraud (Title IX Related),Suspended
389,2017-00015443,,,,,,Injured/Sick Person,CBE
390,2017-00015445,,,,,,Injured/Sick Person,CBE
391,2017-00015463,,,,,,Assault,CBE
392,2017-00015492,,,,,,Fraud (Title IX Related),Suspended
393,2017-00015494,,,,,,CDS Violation,CBE
394,2017-00015528,,,,,,CDS Violation,Arrest
395,2017-00015546,,,,,,Injured/Sick Person,CBE
396,2017-00015563,,,,,,DWI/DUI,Arrest
397,2017-00015566,,,,,,Trespassing,CBE
398,2017-00015643,,,,,,Vandalism,Suspended
399,2017-00015693,,,,,,CDS Violation,Arrest
400,2017-00015719,,,,,,CDS Violation,CBE
401,2017-00015742,,,,,,Theft,Arrest
402,2017-00015748,,,,,,Assist Other Agency,CBE
403,2017-00015765,,,,,,Fire,CBE
404,2017-00015777,,,,,,CDS Violation,CBE
405,2017-00015799,,,,,,Suspicious Person/Auto,Arrest
406,2017-00015814,,,,,,Other Incident,CBE
407,2017-00015925,,,,,,Theft,Suspended
408,2017-00015926,,,,,,Theft from Auto,Active/Pending
409,2017-00015945,,,,,,Injured/Sick Person,CBE
410,2017-00016017,,,,,,Vandalism,Suspended
411,2017-00016018,,,,,,Weapon Violation,Arrest
412,2017-00016034,,,,,,Injured/Sick Person,CBE
413,2017-00016036,,,,,,Injured/Sick Person,CBE
414,2017-00016037,,,,,,Injured/Sick Person,CBE
415,2017-00016101,,,,,,Assist Other Agency,CBE
416,2017-00016288,,,,,,Other Incident,CBE
417,2017-00016304,,,,,,Assault,Arrest
418,2017-00016317,,,,,,Theft,Active/Pending
419,2017-00016384,,,,,,Other Incident,CBE
420,2017-00016399,,,,,,Injured/Sick Person,CBE
421,2017-00016400,,,,,,CDS Violation,CBE
422,2017-00016415,,,,,,Suspicious Activity,Active/Pending
423,2017-00016449,,,,,,Injured/Sick Person,CBE
424,2017-00016459,,,,,,Lost Property,CBE
425,2017-00016470,,,,,,Injured/Sick Person,CBE
426,2017-00016610,,,,,,Injured/Sick Person,CBE
427,2017-00016611,,,,,,Damage to State Property,Active/Pending
428,2017-00016619,,,,,,Damage to State Property,Unfounded
429,2017-00016631,,,,,,Injured/Sick Person,CBE
430,2017-00016642,,,,,,Title IX Incident Non Criminal,CBE
431,2017-00016646,,,,,,Theft,Suspended
432,2017-00016741,,,,,,Assist Other Agency,CBE
433,2017-00016744,,,,,,CDS Violation,CBE
434,2017-00016765,,,,,,DWI/DUI,Arrest
435,2017-00016834,,,,,,Theft,Investigation Pending
436,2017-00016862,,,,,,Other Incident,CBE
437,2017-00016981,,,,,,Rape (Title IX Related),CBE
438,2017-00016994,,,,,,Emergency Petition,CBE
439,2017-00017043,,,,,,Vandalism,Suspended
440,2017-00017046,,,,,,Theft,Unfounded
441,2017-00017070,,,,,,Animal Complaint,CBE
442,2017-00017075,,,,,,Animal Complaint,CBE
443,2017-00017081,,,,,,Theft,Active/Pending
444,2017-00017094,,,,,,Theft,Active/Pending
445,2017-00017128,,,,,,CDS Violation,CBE
446,2017-00017205,,,,,,Injured/Sick Person,CBE
447,2017-00017221,,,,,,Injured/Sick Person,CBE
448,2017-00017232,,,,,,DWI/DUI,Arrest
449,2017-00017343,,,,,,Suspicious Person/Auto,CBE
450,2017-00017357,,,,,,Injured/Sick Person,CBE
451,2017-00017469,,,,,,DWI/DUI,Arrest
452,2017-00017477,,,,,,Check on the Welfare,CBE
453,2017-00017542,,,,,,Theft,Arrest
454,2017-00017565,,,,,,Other Incident,CBE
455,2017-00017687,,,,,,Emergency Petition,CBE
456,2017-00017801,,,,,,Dept Property Damage/Loss,CBE
457,2017-00017809,,,,,,Recovered Stolen Property,Arrest
458,2017-00017818,,,,,,Vandalism,Active/Pending
459,2017-00017839,,,,,,Vandalism,Suspended
460,2017-00018014,,,,,,CDS Violation,Arrest
461,2017-00018064,,,,,,Dept Property Damage/Loss,CBE
462,2017-00018289,,,,,,DWI/DUI,Arrest
463,2017-00018452,,,,,,Threat Assessment,Active/Pending
464,2017-00018658,,,,,,Dept Property Damage/Loss,CBE
465,2017-00018738,,,,,,Suspicious Person/Auto,CBE
466,2017-00018750,,,,,,DWI/DUI,Arrest
467,2017-00018755,,,,,,DWI/DUI,Arrest
468,2017-00018776,,,,,,CDS Violation,CBE
469,2017-00018831,,,,,,Damage to State Property,CBE
470,2017-00018869,,,,,,Other Incident,CBE
471,2017-00019260,,,,,,Emergency Petition,Arrest
472,2017-00019266,,,,,,DWI/DUI,Arrest
473,2017-00019370,,,,,,Emergency Petition,CBE
474,2017-00019387,,,,,,Theft,Warrant Issued
475,2017-00019389,,,,,,Other Incident,CBE
476,2017-00019394,,,,,,CDS Violation,CBE
477,2017-00019396,,,,,,Accident - Departmental,CBE
478,2017-00019555,,,,,,Injured/Sick Person,CBE
479,2017-00019560,,,,,,Assist Other Agency,CBE
480,2017-00019583,,,,,,Hate Bias Incident,Active/Pending
481,2017-00019621,,,,,,Theft,Arrest
482,2017-00019622,,,,,,Trespassing,Arrest
483,2017-00019623,,,,,,Telephone/EMail Misuse,CBE
484,2017-00019624,,,,,,Fraud,CBE
485,2017-00019654,,,,,,Theft,Warrant Issued
486,2017-00019694,,,,,,Stolen Motor Vehicle,Active/Pending
487,2017-00019814,,,,,,Emergency Petition,CBE
488,2017-00019829,,,,,,Theft,Suspended
489,2017-00019841,,,,,,Fraud,CBE
490,2017-00019851,,,,,,Lost Property,CBE
491,2017-00019889,,,,,,Theft,Active/Pending
492,2017-00019939,,,,,,Suspicious Person/Auto,Arrest
493,2017-00019942,,,,,,Injured/Sick Person,CBE
494,2017-00019988,,,,,,Other Incident,Unfounded
495,2017-00019997,,,,,,Assist Other Agency,CBE
496,2017-00020004,,,,,,Theft,Suspended
497,2017-00020009,,,,,,Theft,Suspended
498,2017-00020013,,,,,,Theft,Arrest
499,2017-00020032,,,,,,Theft,Warrant Issued
500,2017-00020050,,,,,,Theft,Warrant Issued
501,2017-00020064,,,,,,Injured/Sick Person,CBE
502,2017-00020081,,,,,,Injured/Sick Person,CBE
503,2017-00020086,,,,,,Assault (Title IX Related),Arrest
504,2017-00020105,,,,,,Injured/Sick Person,CBE
505,2017-00020106,,,,,,DWI/DUI,Arrest
506,2017-00020165,,,,,,Theft,Suspended
507,2017-00020173,,,,,,Theft,CBE
508,2017-00020178,,,,,,Injured/Sick Person,CBE
509,2017-00020183,,,,,,Emergency Petition,CBE
510,2017-00020188,,,,,,Burglary,Suspended
511,2017-00020226,,,,,,CDS Violation,Arrest
512,2017-00020276,,,,,,DWI/DUI,Arrest
513,2017-00020339,,,,,,Assist Other Agency,CBE
514,2017-00020348,,,,,,Injured/Sick Person,CBE
515,2017-00020428,,,,,,Suspicious Activity,CBE
516,2017-00020457,,,,,,Hate Bias Incident,Active/Pending
517,2017-00020579,,,,,,Suspicious Person/Auto,CBE
518,2017-00020584,,,,,,Theft,Active/Pending
519,2017-00020595,,,,,,Fraud,Suspended
520,2017-00020599,,,,,,Assist Other Agency,CBE
