row_number,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
96,2018-00007029,,,,,,Emergency Petition,CBE
97,2018-00007051,,,,,,CDS Violation,CBE
98,2018-00007052,,,,,,Injured/Sick Person,CBE
99,2018-00007074,,,,,,DWI/DUI,Arrest
100,2018-00007104,,,,,,Assist Other Agency,CBE
101,2018-00007132,,,,,,Injured/Sick Person,CBE
102,2018-00007149,,,,,,Disorderly Conduct,CBE
103,2018-00007153,,,,,,Theft,Unfounded
104,2018-00007186,,,,,,Injured Officer,CBE
105,2018-00007238,,,,,,Injured/Sick Person,CBE
106,2018-00007360,,,,,,Injured/Sick Person,CBE
107,2018-00007475,,,,,,Theft,Investigation Pending
108,2018-00007525,,,,,,CDS Violation,CBE
109,2018-00007541,,,,,,CDS Violation,Arrest
110,2018-00007624,,,,,,DWI/DUI,Arrest
111,2018-00007637,,,,,,DWI/DUI,Arrest
112,2018-00007642,,,,,,Injured/Sick Person,CBE
113,2018-00007645,,,,,,Assist Other Agency,CBE
114,2018-00007647,,,,,,CDS Violation,CBE
115,2018-00007653,,,,,,DWI/DUI,Arrest
116,2018-00007738,,,,,,Other Incident,CBE
117,2018-00007754,,,,,,Theft,Investigation Pending
118,2018-00007759,,,,,,Other Incident,CBE
119,2018-00007780,,,,,,Injured/Sick Person,CBE
120,2018-00007880,,,,,,Injured/Sick Person,CBE
121,2018-00007885,,,,,,Injured/Sick Person,CBE
122,2018-00007890,,,,,,Warrant/Summons Service,Arrest
123,2018-00007894,,,,,,Injured/Sick Person,CBE
124,2018-00007895,,,,,,Injured/Sick Person,CBE
125,2018-00007902,,,,,,DWI/DUI,Arrest
126,2018-00007965,,,,,,Injured/Sick Person,CBE
127,2018-00008144,,,,,,DWI/DUI,Arrest
128,2018-00008207,,,,,,Other Incident,Suspended
129,2018-00008473,,,,,,Dept Property Damage/Loss,CBE
130,2018-00008596,,,,,,DWI/DUI,Arrest
131,2018-00008598,,,,,,Injured/Sick Person,CBE
132,2018-00008600,,,,,,Injured/Sick Person,CBE
133,2018-00008602,,,,,,Injured/Sick Person,CBE
134,2018-00008609,,,,,,Injured/Sick Person,CBE
135,2018-00008610,,,,,,Injured/Sick Person,CBE
136,2018-00008686,,,,,,Injured/Sick Person,CBE
137,2018-00008739,,,,,,False Report/Statement,Arrest
138,2018-00008825,,,,,,Theft,Unfounded
139,2018-00008869,,,,,,Vandalism,Suspended
140,2018-00008892,,,,,,Assist Other Agency,CBE
141,2018-00008926,,,,,,CDS Violation,Arrest
142,2018-00008973,,,,,,Injured/Sick Person,CBE
143,2018-00009039,,,,,,DWI/DUI,Arrest
144,2018-00009127,,,,,,Assist Other Agency,CBE
145,2018-00009272,,,,,,Other Incident (Title IX Related),CBE
146,2018-00009288,,,,,,CDS Violation,Arrest
147,2018-00009309,,,,,,Injured/Sick Person,CBE
148,2018-00009317,,,,,,Fraud,Arrest
149,2018-00009335,,,,,,Vandalism,CBE
150,2018-00009339,,,,,,Injured/Sick Person,CBE
151,2018-00009346,,,,,,DWI/DUI,Arrest
152,2018-00009410,,,,,,Theft,Investigation Pending
153,2018-00009561,,,,,,Other Incident,CBE
154,2018-00009622,,,,,,Injured/Sick Person,CBE
155,2018-00009638,,,,,,Injured/Sick Person,CBE
156,2018-00009651,,,,,,Dept Property Damage/Loss,CBE
157,2018-00009734,,,,,,Injured/Sick Person,CBE
158,2018-00009910,,,,,,DWI/DUI,Arrest
159,2018-00010022,,,,,,Theft,Investigation Pending
160,2018-00010031,,,,,,Emergency Petition,CBE
161,2018-00010090,,,,,,CDS Violation,CBE
162,2018-00010103,,,,,,Suspicious Activity,CBE
163,2018-00010168,,,,,,Trespassing,CBE
164,2018-00010178,,,,,,Assist Other Agency,CBE
165,2018-00010184,,,,,,Animal Complaint,CBE
166,2018-00010198,,,,,,Other Incident,CBE
167,2018-00010266,,,,,,CDS Violation,CBE
168,2018-00010334,,,,,,Theft from Auto,Arrest
169,2018-00010362,,,,,,DWI/DUI,Arrest
170,2018-00010401,,,,,,Warrant/Summons Service,Arrest
171,2018-00010444,,,,,,Other Incident,CBE
172,2018-00010451,,,,,,Injured/Sick Person,CBE
173,2018-00010454,,,,,,Theft,Unfounded
174,2018-00010477,,,,,,Other Incident,CBE
175,2018-00010529,,,,,,Emergency Petition,CBE
176,2018-00010553,,,,,,Injured/Sick Person,CBE
177,2018-00010572,,,,,,CDS Violation,CBE
178,2018-00010586,,,,,,Injured/Sick Person,CBE
179,2018-00010618,,,,,,Dept Property Damage/Loss,Unfounded
180,2018-00010635,,,,,,Assist Other Agency,CBE
181,2018-00010638,,,,,,Trespassing,Arrest
182,2018-00010804,,,,,,Injured/Sick Person,CBE
183,2018-00010855,,,,,,Accident - Departmental,CBE
184,2018-00010911,,,,,,Trespassing,CBE
185,2018-00010915,,,,,,Injured/Sick Person,CBE
186,2018-00011030,,,,,,Injured/Sick Person,CBE
187,2018-00011071,,,,,,DWI/DUI,Arrest
188,2018-00011146,,,,,,Alarm,CBE
189,2018-00011196,,,,,,Disorderly Conduct,CBE
190,2018-00011238,,,,,,Traffic Arrest,Arrest
191,2018-00011289,,,,,,Injured/Sick Person,CBE
192,2018-00011581,,,,,,Assist Other Agency,CBE
193,2018-00011582,,,,,,Other Incident,CBE
194,2018-00011584,,,,,,Injured/Sick Person,CBE
195,2018-00011673,,,,,,Theft,Investigation Pending
196,2018-00011691,,,,,,Telephone/EMail Misuse (Title IX Related),Arrest
197,2018-00011718,,,,,,Fraud,Active/Pending
198,2018-00011734,,,,,,Indecent Exposure,CBE
199,2018-00011778,,,,,,Theft,Active/Pending
200,2018-00011787,,,,,,Warrant/Summons Service,Arrest
201,2018-00011900,,,,,,Injured/Sick Person,CBE
202,2018-00011905,,,,,,Other Incident,CBE
203,2018-00011918,,,,,,Theft,Active/Pending
204,2018-00011922,,,,,,Injured/Sick Person,CBE
205,2018-00012134,,,,,,Other Incident,CBE
206,2018-00012230,,,,,,Other Incident,CBE
207,2018-00012239,,,,,,CDS Violation,CBE
208,2018-00012243,,,,,,CDS Violation,CBE
209,2018-00012369,,,,,,Recovered Stolen Motor Vehicle,CBE
210,2018-00012488,,,,,,Vandalism,Active/Pending
211,2018-00012503,,,,,,Injured/Sick Person,CBE
212,2018-00012508,,,,,,CDS Violation,Arrest
213,2018-00012514,,,,,,DWI/DUI,Arrest
214,2018-00012542,,,,,,Injured/Sick Person,CBE
215,2018-00012548,,,,,,DWI/DUI,Arrest
216,2018-00012565,,,,,,DWI/DUI,Arrest
217,2018-00012583,,,,,,DWI/DUI,Arrest
218,2018-00012585,,,,,,DWI/DUI,Arrest
219,2018-00012599,,,,,,Injured/Sick Person,CBE
220,2018-00012700,,,,,,Suspicious Activity,Arrest
221,2018-00012705,,,,,,Injured/Sick Person,CBE
222,2018-00012820,,,,,,DWI/DUI,Arrest
223,2018-00012824,,,,,,Injured/Sick Person,CBE
224,2018-00012869,,,,,,Injured/Sick Person,CBE
225,2018-00012896,,,,,,Suspicious Activity,CBE
226,2018-00012900,,,,,,Injured/Sick Person,CBE
227,2018-00012902,,,,,,Trespassing,Arrest
228,2018-00013042,,,,,,Injured/Sick Person,CBE
229,2018-00013046,,,,,,Assist Other Agency,CBE
230,2018-00013052,,,,,,DWI/DUI,Arrest
231,2018-00013054,,,,,,Other Incident,Suspended
232,2018-00013061,,,,,,DWI/DUI,Arrest
233,2018-00013109,,,,,,Injured/Sick Person,CBE
234,2018-00013111,,,,,,Suspicious Person/Auto,Arrest
235,2018-00013150,,,,,,Warrant/Summons Service,Arrest
236,2018-00013170,,,,,,Other Service Call,CBE
237,2018-00013228,,,,,,Warrant/Summons Service,Arrest
238,2018-00013236,,,,,,Other Incident (Title IX Related),CBE
239,2018-00013269,,,,,,Warrant/Summons Service,Arrest
240,2018-00013315,,,,,,Other Incident,CBE
241,2018-00013343,,,,,,Injured/Sick Person,CBE
242,2018-00013372,,,,,,Theft,Active/Pending
243,2018-00013395,,,,,,Other Incident,Active/Pending
244,2018-00013407,,,,,,Telephone/EMail Misuse (Title IX Related),CBE
245,2018-00013420,,,,,,Assist Other Agency,CBE
246,2018-00013438,,,,,,Theft,Arrest
247,2018-00013464,,,,,,Other Incident,CBE
248,2018-00013530,,,,,,Injured/Sick Person,CBE
249,2018-00013579,,,,,,Injured/Sick Person,CBE
250,2018-00013718,,,,,,DWI/DUI,Arrest
251,2018-00013734,,,,,,Injured/Sick Person,CBE
252,2018-00013823,,,,,,Injured/Sick Person,CBE
253,2018-00013824,,,,,,Vandalism,Active/Pending
254,2018-00013836,,,,,,Injured/Sick Person,CBE
255,2018-00013886,,,,,,Fraud,Arrest
256,2018-00014166,,,,,,Assist Other Agency,CBE
257,2018-00014241,,,,,,DWI/DUI,Arrest
258,2018-00014246,,,,,,Injured/Sick Person,CBE
259,2018-00014362,,,,,,Assist Other Agency,CBE
260,2018-00014403,,,,,,Injured/Sick Person,CBE
261,2018-00014423,,,,,,Assist Other Agency,CBE
262,2018-00014439,,,,,,CDS Violation,CBE
263,2018-00014453,,,,,,Hate Bias Incident (Title IX Related),Investigation Pending
264,2018-00014475,,,,,,CDS Violation,Arrest
265,2018-00014486,,,,,,CDS Violation,Arrest
266,2018-00014492,,,,,,DWI/DUI,Arrest
267,2018-00014500,,,,,,DWI/DUI,Arrest
268,2018-00014515,,,,,,Trespassing,CBE
269,2018-00014523,,,,,,Assist Other Agency,CBE
270,2018-00014666,,,,,,Missing Person/Runaway,CBE
271,2018-00014700,,,,,,Warrant/Summons Service,Arrest
272,2018-00014713,,,,,,CDS Violation,CBE
273,2018-00014714,,,,,,Injured/Sick Person,CBE
274,2018-00014718,,,,,,Injured/Sick Person,CBE
275,2018-00014727,,,,,,DWI/DUI,Arrest
276,2018-00014773,,,,,,Theft,Investigation Pending
277,2018-00014919,,,,,,DWI/DUI,Arrest
278,2018-00014939,,,,,,DWI/DUI,Arrest
279,2018-00015025,,,,,,Damage to State Property,CBE
280,2018-00015074,,,,,,Fraud,Investigation Pending
281,2018-00015086,,,,,,Dept Property Damage/Loss,CBE
282,2018-00015103,,,,,,Theft,Active/Pending
283,2018-00015110,,,,,,Fraud,CBE
284,2018-00015138,,,,,,Emergency Petition,CBE
285,2018-00015224,,,,,,Check on the Welfare,CBE
286,2018-00015281,,,,,,Suspicious Person/Auto,CBE
287,2018-00015305,,,,,,Theft,CBE
288,2018-00015310,,,,,,Injured/Sick Person,CBE
289,2018-00015411,,,,,,Vandalism,Arrest
290,2018-00015436,,,,,,Trespassing,Arrest
291,2018-00015463,,,,,,Theft,Investigation Pending
292,2018-00015474,,,,,,Harassment/Stalking,Active/Pending
293,2018-00015476,,,,,,Injured/Sick Person,CBE
294,2018-00015506,,,,,,Trespassing,CBE
295,2018-00015576,,,,,,CDS Violation,Arrest
296,2018-00015600,,,,,,DWI/DUI,Arrest
297,2018-00015642,,,,,,Injured/Sick Person,CBE
298,2018-00015668,,,,,,Theft,CBE
299,2018-00015731,,,,,,Hate Bias Incident (Title IX Related),CBE
300,2018-00015733,,,,,,Trespassing,CBE
301,2018-00015760,,,,,,Assault,CBE
302,2018-00015778,,,,,,CDS Violation,Arrest
303,2018-00015829,,,,,,Vandalism,Active/Pending
304,2018-00015900,,,,,,Assist Other Agency,CBE
305,2018-00015901,,,,,,Injured/Sick Person,CBE
306,2018-00015910,,,,,,Injured/Sick Person,CBE
307,2018-00015920,,,,,,Hate Bias Incident,CBE
308,2018-00015945,,,,,,CDS Violation,Juvenile Arrest
309,2018-00015956,,,,,,CDS Violation,Arrest
310,2018-00016025,,,,,,Assist Other Agency,CBE
311,2018-00016026,,,,,,DWI/DUI,Arrest
312,2018-00016042,,,,,,Injured/Sick Person,CBE
313,2018-00016091,,,,,,Injured/Sick Person,CBE
314,2018-00016108,,,,,,Injured/Sick Person,CBE
315,2018-00016136,,,,,,Assault,CBE
316,2018-00016224,,,,,,Accident - Departmental,CBE
317,2018-00016262,,,,,,Injured/Sick Person,CBE
318,2018-00016264,,,,,,DWI/DUI,Arrest
319,2018-00016268,,,,,,Burglary,Investigation Pending
320,2018-00016269,,,,,,False Report/Statement,Investigation Pending
321,2018-00016446,,,,,,DWI/DUI,Arrest
322,2018-00016482,,,,,,DWI/DUI,Arrest
323,2018-00016502,,,,,,Vandalism,Investigation Pending
324,2018-00016534,,,,,,Other Incident,Active/Pending
325,2018-00016622,,,,,,Injured/Sick Person,CBE
326,2018-00016637,,,,,,Injured/Sick Person,CBE
327,2018-00016856,,,,,,Assist Other Agency,CBE
328,2018-00016905,,,,,,Injured/Sick Person,CBE
329,2018-00016910,,,,,,Found/Recovered Property,CBE
330,2018-00016990,,,,,,DWI/DUI,Arrest
331,2018-00017028,,,,,,Trespassing,CBE
332,2018-00017060,,,,,,Injured/Sick Person,CBE
333,2018-00017093,,,,,,Emergency Petition,CBE
334,2018-00017096,,,,,,Injured/Sick Person,CBE
335,2018-00017103,,,,,,Assist Other Agency,CBE
336,2018-00017105,,,,,,Injured/Sick Person,CBE
337,2018-00017161,,,,,,CDS Violation,Arrest
338,2018-00017250,,,,,,Emergency Petition,CBE
339,2018-00017261,,,,,,Other Incident,CBE
340,2018-00017310,,,,,,Threat Assessment,CBE
341,2018-00017392,,,,,,DWI/DUI,Arrest
342,2018-00017415,,,,,,Injured/Sick Person,CBE
343,2018-00017420,,,,,,DWI/DUI,Arrest
344,2018-00017423,,,,,,DWI/DUI,Arrest
345,2018-00017427,,,,,,Other Incident,CBE
346,2018-00017501,,,,,,Fraud,Active/Pending
347,2018-00017540,,,,,,Theft,Active/Pending
348,2018-00017630,,,,,,CDS Violation,Arrest
349,2018-00017637,,,,,,DWI/DUI,Arrest
350,2018-00017660,,,,,,DWI/DUI,Arrest
351,2018-00017752,,,,,,Suspicious Activity (Title IX Related),Investigation Pending
352,2018-00017836,,,,,,Assist Other Agency,CBE
353,2018-00017853,,,,,,DWI/DUI,Arrest
354,2018-00017855,,,,,,DWI/DUI,Arrest
355,2018-00017856,,,,,,DWI/DUI,Arrest
356,2018-00017929,,,,,,Injured/Sick Person,CBE
357,2018-00017955,,,,,,Lost Property,CBE
358,2018-00017986,,,,,,Assist Other Agency,CBE
359,2018-00018066,,,,,,Other Incident,Active/Pending
360,2018-00018198,,,,,,CDS Violation,Arrest
361,2018-00018231,,,,,,DWI/DUI,Arrest
362,2018-00018303,,,,,,Assist Other Agency,CBE
363,2018-00018511,,,,,,Other Incident,CBE
364,2018-00018591,,,,,,DWI/DUI,Arrest
365,2018-00018691,,,,,,Injured/Sick Person,CBE
366,2018-00018904,,,,,,Accident,CBE
367,2018-00018968,,,,,,DWI/DUI,Arrest
368,2018-00018985,,,,,,Injured/Sick Person,CBE
369,2018-00019058,,,,,,CDS Violation,CBE
370,2018-00019073,,,,,,CDS Violation,Arrest
371,2018-00019141,,,,,,Theft,Investigation Pending
372,2018-00019256,,,,,,Assist Other Agency,CBE
373,2018-00019338,,,,,,Damage to State Property,CBE
374,2018-00019382,,,,,,Disorderly Conduct,Active/Pending
375,2018-00019404,,,,,,Theft,Investigation Pending
376,2018-00019435,,,,,,Other Incident,CBE
377,2018-00019462,,,,,,Theft,Active/Pending
378,2018-00019492,,,,,,Theft,Unfounded
379,2018-00019577,,,,,,Title IX Incident Non Criminal,CBE
380,2018-00019605,,,,,,Theft,CBE
381,2018-00019608,,,,,,Fraud,Investigation Pending
382,2018-00019611,,,,,,Dept Property Damage/Loss,CBE
383,2018-00019693,,,,,,Trespassing,Arrest
384,2018-00019725,,,,,,Suspicious Activity,Active/Pending
385,2018-00019754,,,,,,Injured/Sick Person,CBE
386,2018-00019775,,,,,,Burglary,Unfounded
387,2018-00019776,,,,,,Emergency Petition,CBE
388,2018-00019790,,,,,,Vandalism,Active/Pending
389,2018-00019863,,,,,,Injured/Sick Person,CBE
390,2018-00019875,,,,,,Injured/Sick Person,CBE
391,2018-00019912,,,,,,Emergency Petition,CBE
392,2018-00019926,,,,,,DWI/DUI,Arrest
393,2018-00020001,,,,,,Check on the Welfare,CBE
394,2018-00020097,,,,,,CDS Violation,Arrest
395,2018-00020102,,,,,,DWI/DUI,Arrest
396,2018-00020111,,,,,,Injured/Sick Person,CBE
397,2018-00020116,,,,,,Injured/Sick Person,CBE
398,2018-00020128,,,,,,Injured/Sick Person,CBE
399,2018-00020138,,,,,,Assault,Active/Pending
400,2018-00020244,,,,,,Vandalism,Investigation Pending
401,2018-00020254,,,,,,Injured/Sick Person,CBE
402,2018-00020266,,,,,,Theft,Investigation Pending
403,2018-00020275,,,,,,Injured/Sick Person,CBE
404,2018-00020298,,,,,,Emergency Petition,CBE
405,2018-00020326,,,,,,Emergency Petition,CBE
406,2018-00020330,,,,,,Assist Other Agency,CBE
407,2018-00020391,,,,,,Assist Other Agency,CBE
408,2018-00020593,,,,,,Theft,Investigation Pending
409,2018-00020647,,,,,,Injured/Sick Person,CBE
410,2018-00020704,,,,,,Assist Other Agency,CBE
411,2018-00020707,,,,,,Theft,Active/Pending
412,2018-00020747,,,,,,Theft from Auto,Warrant Issued
413,2018-00020809,,,,,,Injured/Sick Person,CBE
414,2018-00020916,,,,,,Injured/Sick Person,CBE
415,2018-00020927,,,,,,Stolen Motor Vehicle,CBE
416,2018-00020933,,,,,,Damage to State Property,CBE
417,2018-00020941,,,,,,Other Incident,CBE
418,2018-00020946,,,,,,Theft,Arrest
419,2018-00020966,,,,,,Other Incident,CBE
420,2018-00020975,,,,,,Check on the Welfare,CBE
421,2018-00021086,,,,,,Injured/Sick Person,CBE
422,2018-00021109,,,,,,Lost Property,CBE
423,2018-00021201,,,,,,Assist Other Agency,CBE
424,2018-00021268,,,,,,Injured/Sick Person,CBE
425,2018-00021295,,,,,,Theft,Active/Pending
426,2018-00021328,,,,,,Theft,Active/Pending
427,2018-00021361,,,,,,CDS Violation,Arrest
428,2018-00021369,,,,,,Fire,CBE
429,2018-00021427,,,,,,Other Incident,Active/Pending
430,2018-00021432,,,,,,Theft,Active/Pending
431,2018-00021445,,,,,,Emergency Petition,CBE
432,2018-00021460,,,,,,DWI/DUI,Arrest
433,2018-00021466,,,,,,Assist Other Agency,CBE
434,2018-00021467,,,,,,Assist Other Agency,CBE
435,2018-00021489,,,,,,Injured/Sick Person,CBE
436,2018-00021648,,,,,,Suspicious Person/Auto,CBE
437,2018-00021699,,,,,,Injured/Sick Person,CBE
438,2018-00021813,,,,,,Assault,CBE
439,2018-00021825,,,,,,CDS Violation,Arrest
440,2018-00021833,,,,,,Assist Other Agency,CBE
441,2018-00021940,,,,,,Other Incident,CBE
442,2018-00021945,,,,,,Other Incident,Investigation Pending
443,2018-00022135,,,,,,Emergency Petition,CBE
444,2018-00022139,,,,,,Theft,Unfounded
445,2018-00022160,,,,,,Sex Offense (Title IX Related),CBE
446,2018-00022194,,,,,,Theft,Active/Pending
447,2018-00022250,,,,,,DWI/DUI,Arrest
448,2018-00022293,,,,,,Other Incident,Active/Pending
449,2018-00022321,,,,,,Fraud,Active/Pending
450,2018-00022339,,,,,,Injured/Sick Person,CBE
451,2018-00022340,,,,,,Other Incident (Title IX Related),CBE
452,2018-00022381,,,,,,Emergency Petition,CBE
453,2018-00022527,,,,,,Emergency Petition,CBE
454,2018-00022532,,,,,,Injured/Sick Person,CBE
455,2018-00022536,,,,,,Assist Other Agency,CBE
456,2018-00022580,,,,,,Accident,CBE
457,2018-00022649,,,,,,Check on the Welfare,Active/Pending
458,2018-00022695,,,,,,Other Incident,CBE
459,2018-00022753,,,,,,DWI/DUI,Arrest
460,2018-00022759,,,,,,DWI/DUI,Arrest
461,2018-00022787,,,,,,Sex Offense,CBE
462,2018-00022865,,,,,,Disorderly Conduct,CBE
463,2018-00022922,,,,,,Recovered Stolen Motor Vehicle,Arrest
464,2018-00022929,,,,,,Injured/Sick Person,CBE
465,2018-00022934,,,,,,Injured/Sick Person,CBE
466,2018-00023038,,,,,,Injured/Sick Person,CBE
467,2018-00023065,,,,,,Assist Other Agency,CBE
468,2018-00023070,,,,,,Injured/Sick Person,CBE
469,2018-00023112,,,,,,Injured/Sick Person,CBE
470,2018-00023113,,,,,,CDS Violation,Arrest
471,2018-00023114,,,,,,Trespassing,CBE
472,2018-00023124,,,,,,Trespassing,CBE
473,2018-00023256,,,,,,DWI/DUI,Arrest
474,2018-00023272,,,,,,Theft from Auto,CBE
475,2018-00023316,,,,,,Injured/Sick Person,CBE
476,2018-00023546,,,,,,Found/Recovered Property,CBE
477,2018-00023615,,,,,,Injured/Sick Person,CBE
478,2018-00023741,,,,,,Alcohol Violation,CBE
479,2018-00023821,,,,,,Assist Other Agency,CBE
480,2018-00023921,,,,,,CDS Violation,CBE
481,2018-00023935,,,,,,Other Incident,Investigation Pending
482,2018-00023956,,,,,,Theft,Active/Pending
483,2018-00023968,,,,,,Injured/Sick Person,CBE
484,2018-00024031,,,,,,Injured/Sick Person,CBE
485,2018-00024032,,,,,,Telephone/EMail Misuse,CBE
486,2018-00024060,,,,,,Burglary,Investigation Pending
487,2018-00024140,,,,,,Accident - Departmental,CBE
488,2018-00024331,,,,,,Assist Other Agency,CBE
489,2018-00024332,,,,,,Theft,Arrest
490,2018-00024337,,,,,,Theft,Unfounded
491,2018-00024485,,,,,,Vandalism,Arrest
492,2018-00024504,,,,,,DWI/DUI,Arrest
493,2018-00024523,,,,,,CDS Violation,Arrest
494,2018-00024629,,,,,,Injured/Sick Person,CBE
495,2018-00024657,,,,,,Check on the Welfare,CBE
496,2018-00024691,,,,,,Assist Other Agency (Title IX Related),CBE
497,2018-00024708,,,,,,DWI/DUI,Arrest
498,2018-00024711,,,,,,Injured/Sick Person,CBE
499,2018-00024777,,,,,,Theft,Arrest
500,2018-00024851,,,,,,CDS Violation,CBE
501,2018-00024889,,,,,,Disorderly Conduct,Arrest
502,2018-00024908,,,,,,Theft,Investigation Pending
503,2018-00024924,,,,,,Theft,Unfounded
504,2018-00024932,,,,,,Injured/Sick Person,CBE
505,2018-00024944,,,,,,Sex Offense,CBE
506,2018-00024963,,,,,,Injured/Sick Person,CBE
507,2018-00024992,,,,,,Assist Other Agency,CBE
508,2018-00025020,,,,,,Assault,Arrest
509,2018-00025028,,,,,,Stolen Motor Vehicle,Arrest
510,2018-00025086,,,,,,Theft,Investigation Pending
511,2018-00025192,,,,,,Injured/Sick Person,CBE
512,2018-00025227,,,,,,Theft,Investigation Pending
513,2018-00025256,,,,,,Harassment/Stalking,CBE
514,2018-00025257,,,,,,Vandalism,Investigation Pending
515,2018-00025258,,,,,,Theft,Arrest
516,2018-00025322,,,,,,Other Incident,CBE
